연도,주택용,일반용,교육용,산업용,농사용,가로등,심야,합계
2020,76303405,113638542,7515352,278660247,19028829,3506999,10616342,509269715
2019,72638867.792,116226510.249,8560660.333,289240197.984,18882368.129,3571475.434,11378657.805,520498737.726
2018,72894709,116933912,8677808,292998663,18503827,3582649,12557594,526149162
2017,68543760,111297776,8316290,285969563,17250850,3556775,12811372,507746386
2016,68056786,108616888,8079392,278827855,16579843,3462314,13415826,497038904
2015,65618610.102,103679345.522,7690600.115,273547996.643,15702467.649,3341239.614,14074556.043,483654815.688
2014,64457263.285,100760879.149,7438373.754,272551572.699,14504731.303,3221008.114,14657872.719,477591701.023
2013,65814572.339,102196338.312,7947317.399,265372530.719,13865836.654,3156225.641,16495759.046,474848580.11
2012,65483732.827,101592760.074,7860449.36,258101932.911,12776044.639,3158091.48,17619937.397,466592948.688
2011,63523655.234,99504064.577,7568016.011,251490647.939,11231538.371,3145497.971,18606840.397,455070260.5
2010,63199602.27,97410032.26,7452576.466,232672176.3,10654294.54,3081490.265,19690055.92,434160228
2009,59427254.63,89619315.85,6465448.526,207215867.1,9671356.662,2954230.98,19121162.98,394474636.8
2008,57877514.33,86827002.62,5783323.517,203474609,8869459.142,2847240.868,19390987.31,385070136.8
2007,55680846.01,82207585.91,5304103.629,194936409.3,8215174.194,2793943.083,19467370.78,368605432.9
2006,53912272,77809152.07,4790496.283,183067126.6,7635659.599,2687040.04,18817624.33,348719370.9
2005,52044461.6,73715517.35,4308747.515,174945372.7,7317815.423,2570005.506,17510907.65,332412828
2004,49513298.44,67475970,3773549.221,166222983.2,6766323.773,2367076.988,15976384.13,312095585.9
2003,46505348,61626421.34,3351320.214,157844516.7,6147364.226,2197210.383,15927049.32,293599230.2
2002,43452142.21,57428012.17,2953566.377,151196191.8,6328169.218,2075944.013,15017345.74,278451371.5
2001,40269734.24,52622435.09,2639687.25,142160215.4,6142089.507,1877624.402,12019568.47,257731354.4
